area_id,area_type,municipality,block,treatment,registered,turnout,hollande_share
M_77208,Municipality,Gouaix,2914,1,990,0.7747474908828735,0.25333333015441895
M_91156,Municipality,Cheptainville,3324,0,1243,0.8390989303588867,0.26320940256118774
P_94068_31,Precinct,Saint-Maur-des-Fossés,3498,1,987,0.8105369806289673,0.28589579463005066
P_91421_4,Precinct,Montgeron,3363,0,979,0.785495400428772,0.2836218476295471
P_94033_22,Precinct,Fontenay-sous-Bois,3481,1,941,0.776833176612854,0.343137264251709
P_92072_3,Precinct,Sèvres,3419,1,878,0.7585421204566956,0.34150075912475586
P_95500_13,Precinct,Pontoise,3545,1,661,0.6369137763977051,0.5427873134613037
M_77052,Municipality,Bréau,2900,1,273,0.8388278484344482,0.2466367781162262
P_95637_9,Precinct,Vauréal,3555,0,957,0.7345872521400452,0.49189984798431396
P_92044_21,Precinct,Levallois-Perret,3407,1,846,0.8215129971504211,0.2445095181465149
P_91272_1,Precinct,Gif-sur-Yvette,3347,1,1012,0.8280632495880127,0.327690452337265
P_91326_7,Precinct,Juvisy-sur-Orge,3349,1,952,0.7720588445663452,0.34301522374153137
P_77288_11,Precinct,Melun,2895,1,1133,0.6734333634376526,0.46404340863227844
P_91182_4,Precinct,Courcouronnes,3337,1,772,0.7551813721656799,0.3618881106376648
P_78361_19,Precinct,Mantes-la-Jolie,2963,1,1228,0.6294788122177124,0.6649076342582703
P_94017_33,Precinct,Champigny-sur-Marne,3474,1,1320,0.6818181872367859,0.509132444858551
P_94079_7,Precinct,Villiers-sur-Marne,3508,1,974,0.7186858057975769,0.47144949436187744
P_94074_3,Precinct,Valenton,3503,1,795,0.7559748291969299,0.4628378450870514
P_94042_11,Precinct,Joinville-le-Pont,3486,1,1086,0.7615101337432861,0.3075030744075775
P_91589_1,Precinct,Savigny-sur-Orge,3377,0,1439,0.788742184638977,0.30582958459854126
P_78015_2,Precinct,Andrésy,2933,1,950,0.7831578850746155,0.26158037781715393
P_92075_6,Precinct,Vanves,3420,1,991,0.8203834295272827,0.38833746314048767
